candidate_id,rank,score,reasoning
CAND_0002025,1,0.9409,"5.9-yr senior ai engineer at Apple; evidence on ML frameworks, LLM fine-tuning, retrieval/embeddings; built ranking; 80% response rate; Trivandrum."
CAND_0018499,2,0.9384,"senior machine learning engineer with 7.2 yrs; Zomato; qualified on retrieval/embeddings, ML frameworks, search/ranking; uses FAISS; 61% reply, active 40d ago; Noida."
CAND_0077337,3,0.9275,"staff machine learning engineer (7.0 yrs), Paytm; qualified: retrieval/embeddings, LLM fine-tuning, search/ranking; uses BM25; responds 95%, last active 27d ago; Kochi."
CAND_0079387,4,0.9202,"Trivandrum — ai engineer with 6.9 yrs at Microsoft; retrieval/embeddings, search/ranking, ML frameworks; uses FAISS; 81% reply rate."
CAND_0006567,5,0.9199,"Noida — senior ai engineer with 7.9 yrs at Meta; retrieval/embeddings, ML frameworks, LLM fine-tuning; built ranking; 79% reply rate."
CAND_0049538,6,0.9197,"Applied ML Engineer — 5.8 yrs, Saarthi.ai; strong on retrieval/embeddings, ML frameworks, search/ranking; built ranking; engaged (72% reply, last active 26d ago); Jaipur."
CAND_0005649,7,0.9044,"Senior Data Scientist — 7.4 yrs, Sarvam AI; strong on retrieval/embeddings, ML frameworks, LLM fine-tuning; uses FAISS; engaged (57% reply, last active 69d ago); Delhi."
CAND_0024620,8,0.9006,"New York — ai engineer with 5.9 yrs at PharmEasy; retrieval/embeddings, LLM fine-tuning, search/ranking; built ranking; 41% reply rate."
CAND_0029367,9,0.8880,"senior data scientist (5.7 yrs), Rephrase.ai; qualified: retrieval/embeddings, ML frameworks, search/ranking; uses FAISS; responds 77%, last active 33d ago; Bangalore."
CAND_0068351,10,0.8849,"6.4-yr lead ai engineer at Sarvam AI; evidence on retrieval/embeddings, ML frameworks, LLM fine-tuning; built ranking; 86% response rate; Delhi."
CAND_0093547,11,0.8843,"2.9-yr senior machine learning engineer at PhonePe; evidence on retrieval/embeddings, ML frameworks, LLM fine-tuning; uses Pinecone; 75% response rate; Coimbatore."
CAND_0074735,12,0.8684,"senior applied ml engineer at Rephrase.ai, 5.5 yrs; retrieval/embeddings, search/ranking, ML frameworks; uses Pinecone; 77% reply, active 86d ago; Chandigarh."
CAND_0075249,13,0.8673,"Applied ML Engineer — 6.2 yrs, Zomato; strong on retrieval/embeddings, ML frameworks, search/ranking; uses FAISS; engaged (82% reply, last active 74d ago); Ahmedabad."
CAND_0088025,14,0.8645,"staff machine learning engineer with 8.6 yrs; Yellow.ai; qualified on retrieval/embeddings, LLM fine-tuning, ML frameworks; uses Pinecone; 83% reply, active 39d ago; Jaipur."
CAND_0074225,15,0.8624,"machine learning engineer (4.3 yrs), Unacademy; qualified: retrieval/embeddings, ML frameworks, LLM fine-tuning; uses Pinecone; responds 91%, last active 33d ago; Vizag."
CAND_0043228,16,0.8575,"senior applied ml engineer with 6.8 yrs; Zoho; qualified on retrieval/embeddings, ML frameworks, search/ranking; uses FAISS; 41% reply, active 31d ago; Chennai."
CAND_0046525,17,0.8540,"senior machine learning engineer (6.1 yrs), Genpact AI; qualified: retrieval/embeddings, ML frameworks, LLM fine-tuning; uses FAISS; responds 88%, last active 30d ago; Pune."
CAND_0044222,18,0.8523,"AI Engineer — 7.7 yrs, PolicyBazaar; strong on retrieval/embeddings, LLM fine-tuning, ML frameworks; uses FAISS; engaged (60% reply, last active 38d ago); Vizag."
CAND_0081846,19,0.8517,"Lead AI Engineer — 6.7 yrs, Razorpay; strong on retrieval/embeddings, ML frameworks, search/ranking; uses FAISS; engaged (73% reply, last active 50d ago); Jaipur."
CAND_0020877,20,0.8515,"senior applied ml engineer with 5.1 yrs; CRED; qualified on retrieval/embeddings, ML frameworks, LLM fine-tuning; uses FAISS; 66% reply, active 80d ago; Gurgaon."
CAND_0070398,21,0.8512,"7.2-yr machine learning engineer at Genpact AI; evidence on retrieval/embeddings, ML frameworks, search/ranking; uses FAISS; 60% response rate; Kochi."
CAND_0007460,22,0.8498,"ai engineer (4.7 yrs), Salesforce; qualified: retrieval/embeddings, LLM fine-tuning, search/ranking; built ranking; responds 48%, last active 32d ago; Pune."
CAND_0039383,23,0.8492,"7.1-yr applied ml engineer at Meesho; evidence on LLM fine-tuning, retrieval/embeddings, ML frameworks; uses FAISS; 61% response rate; Gurgaon."
CAND_0064904,24,0.8481,"senior ai engineer with 4.9 yrs; LinkedIn; qualified on retrieval/embeddings, LLM fine-tuning, ML frameworks; built ranking; 78% reply, active 97d ago; Hyderabad."
CAND_0042029,25,0.8468,"Senior Data Scientist — 6.5 yrs, Flipkart; strong on ML frameworks, retrieval/embeddings, search/ranking; uses Pinecone; engaged (67% reply, last active 70d ago); Delhi."
CAND_0011432,26,0.8463,"Senior Data Scientist (7.6yr), Amazon; ML frameworks, retrieval/embeddings, search/ranking — last active 98d ago; Chennai."
CAND_0037944,27,0.8338,"Senior Data Scientist with 4.9 yrs; Vedantu; retrieval/embeddings, ML frameworks, LLM fine-tuning; uses Pinecone — but last active 92d ago."
CAND_0042100,28,0.8326,"Machine Learning Engineer with 7.3 yrs; Freshworks; retrieval/embeddings, search/ranking, LLM fine-tuning; built ranking — but last active 91d ago."
CAND_0069905,29,0.8315,"applied ml engineer at Sarvam AI (6.6yr); matched on LLM fine-tuning, ML frameworks, search/ranking; uses FAISS — 90-day notice."
CAND_0066376,30,0.8310,"Applied ML Engineer (5.7yr), Dream11; retrieval/embeddings, search/ranking, LLM fine-tuning — 90-day notice; Mumbai."
CAND_0050876,31,0.8296,"6.0-yr applied ml engineer at Freshworks; surfaced for ML frameworks, retrieval/embeddings, LLM fine-tuning at Freshworks, but 90-day notice."
CAND_0044855,32,0.8289,"6.6-yr senior data scientist at Flipkart; surfaced for retrieval/embeddings, ML frameworks, LLM fine-tuning at Flipkart, but some JD gaps."
CAND_0037566,33,0.8282,"machine learning engineer at LinkedIn (6.9yr); matched on LLM fine-tuning, ML frameworks, retrieval/embeddings; uses Pinecone — some JD gaps."
CAND_0079064,34,0.8257,"senior data scientist (5.2 yrs) at Niramai; strong on retrieval/embeddings, LLM fine-tuning, search/ranking but 120-day notice."
CAND_0061655,35,0.8253,"Machine Learning Engineer (4.6yr), Krutrim; ML frameworks, retrieval/embeddings, LLM fine-tuning — some JD gaps; Jaipur."
CAND_0064270,36,0.8189,"applied ml engineer at Verloop.io (4.2yr); matched on retrieval/embeddings, search/ranking, LLM fine-tuning; built ranking — last active 94d ago."
CAND_0051004,37,0.8185,"senior data scientist at CRED (4.7yr); matched on LLM fine-tuning, retrieval/embeddings, search/ranking; uses Pinecone — some JD gaps."
CAND_0075574,38,0.8168,"machine learning engineer (5.7 yrs) at Haptik; strong on retrieval/embeddings, ML frameworks, search/ranking but some JD gaps."
CAND_0087630,39,0.8164,"ai engineer at Vedantu (7.2yr); matched on retrieval/embeddings, ML frameworks, LLM fine-tuning; built ranking — last active 98d ago."
CAND_0079284,40,0.8141,"machine learning engineer (4.9 yrs) at Google; strong on ML frameworks, search/ranking, retrieval/embeddings but some JD gaps."
CAND_0045250,41,0.8114,"applied ml engineer (6.6 yrs) at Rephrase.ai; strong on retrieval/embeddings, LLM fine-tuning, ML frameworks but some JD gaps."
CAND_0071974,42,0.8103,"Senior AI Engineer with 7.8 yrs; Netflix; retrieval/embeddings, LLM fine-tuning, ML frameworks; uses Pinecone — but some JD gaps."
CAND_0061257,43,0.8070,"8.0-yr staff machine learning engineer at LinkedIn; surfaced for ML frameworks, retrieval/embeddings, LLM fine-tuning at LinkedIn, but some JD gaps."
CAND_0015528,44,0.8043,"Applied ML Engineer (7.4yr), Krutrim; retrieval/embeddings, ML frameworks, LLM fine-tuning — some JD gaps; Coimbatore."
CAND_0051630,45,0.8023,"Machine Learning Engineer (6.0yr), Razorpay; retrieval/embeddings, ML frameworks, LLM fine-tuning — 90-day notice; Kolkata."
CAND_0030031,46,0.8015,"AI Engineer (5.7yr), Microsoft; retrieval/embeddings, ML frameworks, LLM fine-tuning — some JD gaps; Trivandrum."
CAND_0050454,47,0.7990,"AI Engineer (6.8yr), Rephrase.ai; ML frameworks, LLM fine-tuning, retrieval/embeddings — some JD gaps; Delhi."
CAND_0058688,48,0.7959,"AI Engineer with 6.7 yrs; Vedantu; retrieval/embeddings, ML frameworks, search/ranking; built ranking — but some JD gaps."
CAND_0009691,49,0.7958,"applied ml engineer at LinkedIn (6.2yr); matched on LLM fine-tuning, retrieval/embeddings, ML frameworks; built ranking — 120-day notice."
CAND_0008425,50,0.7951,"senior nlp engineer (7.8 yrs) at Ola; strong on retrieval/embeddings, LLM fine-tuning, search/ranking but 90-day notice."
CAND_0016163,51,0.7948,"Applied ML Engineer with 6.7 yrs; Dream11; retrieval/embeddings, ML frameworks, LLM fine-tuning; uses FAISS — but 120-day notice."
CAND_0062247,52,0.7929,"ai engineer (7.3 yrs) at Google; strong on retrieval/embeddings, LLM fine-tuning, ML frameworks but some JD gaps."
CAND_0030348,53,0.7862,"4.5-yr machine learning engineer at BYJU'S; surfaced for retrieval/embeddings, ML frameworks, search/ranking at BYJU'S, but some JD gaps."
CAND_0067866,54,0.7828,"senior software engineer (ml) at Tech Mahindra (6.4yr); matched on retrieval/embeddings, LLM fine-tuning, ML frameworks; built ranking — some JD gaps."
